Date Started,Who am I,Rating,Was your issue resolved,Comments,Who worked on your issue
5/31/2018,SWaM,5,Yes,Excellent to work with the customer care representative. Kudos to Ms. Miranda for helping get access to the system.,"Miranda, Specialist"
5/31/2018,SWaM,5,Yes,"A few days ago, I called and ask for an explanation of quantity and Unit of measure and was given the wrong info or I misunderstood.

Tks.","Sherry, Specialist"
5/31/2018,Other,5,Yes,Miranda is the BEST!!,"Miranda, Specialist"
5/31/2018,Other,5,Yes,"The young lady that assisted me was awesome! Very kind and helpful.. Walked me through the steps on registration that was causing me to not be able to get registered on eVA. She was such a blessing.  She resolved an issue I have been dealing with for approximately 3 weeks and greater than 10 attempts to register.   I am so sorry. I do not remember her name--very soft spoken, sweet pleasant voice. Was around 2:50pm ET on 5-31-2018","Natasha, Lead"
5/31/2018,Buyer,5,Yes,"She was very helpful! I was provided names, email addresses, and telephone numbers  for the people I needed to contact regarding my issue. She also said she would email them and let them know what was going on. Thank you for going those extra steps instead of just telling me you was not who I needed to talk to and for your great customer service.  Happy Thursday!","Miranda, Specialist"
5/31/2018,Buyer,5,Yes,"There was something really wrong with my account and the representative had to escalate my issue, then it was escalated again.  I felt like everyone followed their troubleshooting workflows and moved to the next level as needed.  A technician called me and had my issue resolved within a few hours.  I was able to get back to work.  I am so thankful!","Miranda, Specialist"
5/31/2018,Buyer,5,Yes,She was kind and helpful.,"Sherry, Specialist"
5/31/2018,Buyer,5,Yes,"Jennifer was very patience & understanding, even when I was confused.  Thanks.","Jennifer, Specialist"
5/31/2018,Vendor,5,No,"No, not really.  However, the answer will have to come from the Buyer for which I have not heard back from yet.  The manufactory where I am getting the quote from to present in the Bid needs to know if line item 4 - 11 are TRULY ANGLED.  Your representative cannot help me with the questions and the office is suggesting that I respond to the best of my knowledge. The Manufactory cannot give me a quote with the above question being answer and I am still waiting for the Buyer to reply to QQ226349.  Otherwise I will not be able to participate in the bidding process and I want too.  I sincerely appreciate your staff help who was professional driven.","Sherry, Specialist"
5/31/2018,Vendor,5,Yes,Natasha was amazing and took care of my issue right away. Very grateful!!!,"Natasha, Lead"
5/31/2018,Vendor,5,Yes,I was on hold for an extremely long time before Natasha picked up the call.,"Natasha, Lead"
5/31/2018,Vendor,5,Yes,Very helpful and pleasant !,"Miranda, Specialist"
5/31/2018,Vendor,5,Yes,thanks for helping me fix my password issue!!,"Miranda, Specialist"
5/31/2018,Vendor,5,Yes,Sherry was excellent!  Very helpful and patient.,"Sherry, Specialist"
5/31/2018,Vendor,5,Yes,"Can't remember her name but she was extremely helpful, knowledgeable and answered my questions quickly.

Thank you","Jennifer, Specialist"
5/30/2018,Buyer,5,Yes,[No Answer Entered],"Natasha, Lead"
5/30/2018,Buyer,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/30/2018,Buyer,5,Yes,[No Answer Entered],"Natasha, Lead"
5/30/2018,SWaM,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/30/2018,Buyer,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/30/2018,Buyer,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/30/2018,Vendor,5,Yes,[No Answer Entered],"Natasha, Lead"
5/30/2018,Vendor,5,Yes,[No Answer Entered],"Miranda, Specialist"
5/30/2018,Vendor,5,Yes,[No Answer Entered],"Miranda, Specialist"
5/30/2018,Vendor,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/30/2018,Vendor,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/30/2018,Other,5,Yes,She was very knowledgeable and got the issue resolved quickly.,"Miranda, Specialist"
5/30/2018,Buyer,5,Yes,The person that assisted me was very helpful and professional.,"Natasha, Lead"
5/30/2018,Buyer,5,Yes,"Sherry was very knowledgeable about the procedural questions I had about bid tabs relative to quick quotes, and was able to answer the questions right away.","Sherry, Specialist"
5/30/2018,Buyer,5,Yes,"Very helpful and pleasant. Able to find out for me what happened with the vendor I was calling about. 
I hate that I don't remember her name.","Jennifer, Specialist"
5/30/2018,Buyer,5,Yes,"AWESOME SHE HELP ME TO LOCATE THE NEW VENDOR SO I COULD  DO THE PURCHASE  ORDER
I WAS CLICKING ON THE NAME IT WOULD  NOT SHOW SO SHE TOLD  ME TO TYPEIN EVA ID: 
IT CAME UP IN THE SYSTEM SO  I COULD TYPE THE ORDER THE VENDOR WAS APPROVED YESTERDAY  THANKS SO MUCH  COULD  NOT GET THE NAME OF THE  STAFF","Jennifer, Specialist"
5/30/2018,Vendor,5,Yes,"Representative was knowledgeable, thorough and very friendly.","Natasha, Lead"
5/30/2018,Vendor,5,Yes,very nice lady I spoke with and extremly helpful.,"Natasha, Lead"
5/30/2018,Vendor,5,Yes,"very supportive, stayed on the phone and walked me through the form changes.","Miranda, Specialist"
5/30/2018,Vendor,5,Yes,very pleasant and helpful,"Miranda, Specialist"
5/30/2018,Vendor,5,Yes,Thanks!,"Sherry, Specialist"
5/30/2018,Vendor,5,Yes,Customer care responded quickly with tack and caress.  The website need updated.  It took 2 minutes to wait for the data to come up before I was able to see the updated information.,"Sherry, Specialist"
5/30/2018,Vendor,5,Yes,Very professional and prompt service.  5-star rating!,"Sherry, Specialist"
5/30/2018,Vendor,5,Yes,Prompt service!,"Jennifer, Specialist"
5/30/2018,Vendor,5,Yes,"Sherry was very helpful and knowledgeable. She gave thorough instructions and information, thinking ahead for info I might possibly need going forward.","Sherry, Specialist"
5/29/2018,Buyer,5,Yes,[No Answer Entered],"Natasha, Lead"
5/29/2018,Buyer,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/29/2018,Vendor,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/29/2018,Vendor,4,Yes,"Very Nice, professional, helped me with my problem quickly.","Jennifer, Specialist"
5/29/2018,SWaM,5,Yes,She was professional driven and help me resolve the question,"Jennifer, Specialist"
5/29/2018,Other,5,Yes,Customer service rep provided the info necessary for the issue with a vendor... thank you!,"Jennifer, Specialist"
5/29/2018,Buyer,5,Yes,"It was very quick, helpful and efficient! I really appreciated the professionalism.  I am sorry I didn't get the representatives name but she was very friendly!","Miranda, Specialist"
5/29/2018,Buyer,5,Yes,very friendly and knew exactly how to answer my question.,"Sherry, Specialist"
5/29/2018,Vendor,5,Yes,I sent an email inquiry this morning and within 2 hours someone called to respond. It was super fast and the person was very knowledgeable. Great response time.,"Natasha, Lead"
5/29/2018,Vendor,5,Yes,Very courteous and solved my problem the first time!,"Jamel, Lead"
5/29/2018,Vendor,5,Yes,"I could not expect so much attention from a Government agency.
 Thanks!","Sherry, Specialist"
5/29/2018,Vendor,5,Yes,Very kind all the time and trying to help.,"Jennifer, Specialist"
5/29/2018,Vendor,5,Yes,Called twice... unfortunately I don't recall the names of the representatives but both were very patient and professional while guiding me through how to reply to QQ,"Joann, Specialist"
5/25/2018,Buyer,4,Yes,[No Answer Entered],"Natasha, Lead"
5/25/2018,Other,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/25/2018,Buyer,5,Yes,[No Answer Entered],"Miranda, Specialist"
5/25/2018,Vendor,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/25/2018,Vendor,1,No,"The Vendor registration https://eva.virginia.gov/ 
When I tried to complete registration, they fielded our company name and identified 
I was then prompted:   Yes, I found my Headquarters but not my Location
I was then forwarded to a Verification page where I submitted our EIN #
I was then prompted to agree to terms:   eVA Memorandum Of Agreement (Effective 5/16/2006)
Which then lead me to this page which took me an hour to complete:
https://vendor.epro.cgipdc.com/webapp/VSSAPPX/Advantage
At the end of that time, I could not submit as I was informed we were already in the system.
This was a huge WASTE of my time, please do not allow fields to keep being presented unnecessarily.    We do business all over the USA and around the world.   This vendor system needs significant improvement!   Thank you!","Miranda, Specialist"
5/25/2018,Buyer,5,Yes,Miranda was fantastic!  She was so patient with me and walked me through step-by-step until she had resolved the issue.  Thank you again!,"Miranda, Specialist"
5/25/2018,Buyer,5,Yes,Customer care took very good care of me.  Sherry was patient and knowledgeable about her business.,"Sherry, Specialist"
5/25/2018,Buyer,5,Yes,Joann was patient and helpful.,"Joann, Specialist"
5/25/2018,Buyer,5,Yes,My questions was answered quickly and I was informed why the error occurred. In the future I can resolve the issue on my own.,"Jennifer, Specialist"
5/25/2018,Buyer,5,Yes,Customer Care rep. was extremely courteous and very helpful. She also made great suggestions.,"Jennifer, Specialist"
5/25/2018,Buyer,5,No,It's not entirely an eVA issue.,"Joann, Specialist"
5/25/2018,Vendor,5,No,I was trying to update my registry to a micro company and didn't know how on the update site. The young lady said that there was no way to do that and took some information from me and said that was all I could do.,"Joann, Specialist"
5/25/2018,Vendor,5,Yes,Miranda was very easy to work with.,"Miranda, Specialist"
5/25/2018,Vendor,5,Yes,Sherry provided some of the best customer service over the phone I have ever had!,"Sherry, Specialist"
5/25/2018,Vendor,5,Yes,"Excellent service, thank you!!","Joann, Specialist"
5/25/2018,Vendor,5,Yes,Joann was very helpful and walked me through all steps. Thank you.,"Joann, Specialist"
5/25/2018,Vendor,5,Yes,The person that answered my call was excellent.  She knew what needed to be done to fix my problem and gave me clear instructions on how to fix it.,"Jennifer, Specialist"
5/25/2018,Vendor,5,Yes,Great support,"Jennifer, Specialist"
5/25/2018,Vendor,5,Yes,I did not catch her name but she was extremely helpful and patient with this first time caller!  Thank you.,"Jennifer, Specialist"
5/25/2018,Vendor,5,Yes,Very nice and helpful,"Miranda, Specialist"
5/25/2018,Vendor,5,Yes,Very thorough.,"Sherry, Specialist"
5/24/2018,Buyer,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/24/2018,Vendor,5,Yes,[No Answer Entered],"Miranda, Specialist"
5/24/2018,Vendor,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/24/2018,Vendor,5,Yes,[No Answer Entered],"Joann, Specialist"
5/24/2018,Vendor,4,Yes,Partially resolved possibly due to system overload. Longer search time.,"Sherry, Specialist"
5/24/2018,SWaM,5,Yes,I need much more training to use EVA effective. Are there classes?,"Joann, Specialist"
5/24/2018,SWaM,5,No,"you passed the issue, to SBSD@SBSD.virginia.gov for further review.","Jamel, Lead"
5/24/2018,Other,5,Yes,"Excellent, excellent Customer Service! Appreciate the time taken to research the matter as well as the time taken to answer questions and explain eVA system findings.","Miranda, Specialist"
5/24/2018,Buyer,5,Yes,She was very helpful and explained several approaches to accessing information on eVA's recently updated site.,"Joann, Specialist"
5/24/2018,Buyer,5,Yes,"My issue was resolved to the best of your ability.  Unfortunately, it is apparently an issue with the vendor, which I can't seem to get resolved.  It was ticket #559305.","Jennifer, Specialist"
5/24/2018,Vendor,5,No,"Jennifer was by far the best person in my many interactions with the EVA help desk.
Every time we need to get info or input info into this system Its a PAIN FILLED HORROR!!!!!
This system Ads Cost to every item you buy","Jennifer, Specialist"
5/24/2018,Vendor,5,Yes,Wonderful and very helpful,"Miranda, Specialist"
5/24/2018,Vendor,5,Yes,Customer service support was helpful and friendly.,"Miranda, Specialist"
5/24/2018,Vendor,5,Yes,Sherry was professional and very helpful.,"Sherry, Specialist"
5/24/2018,Vendor,5,Yes,The rep was knowledgeable and very courteous.,"Jennifer, Specialist"
5/24/2018,Vendor,5,Yes,"Spoke with Jennifer....she was very helpful, and patient. Thanks!","Jennifer, Specialist"
5/24/2018,Vendor,5,Yes,Very patient.,"Sherry, Specialist"
5/23/2018,Buyer,5,Yes,[No Answer Entered],"Joann, Specialist"
5/23/2018,Buyer,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/23/2018,Vendor,4,Yes,[No Answer Entered],"Sherry, Specialist"
5/23/2018,Vendor,5,Yes,[No Answer Entered],"Natasha, Lead"
5/23/2018,Vendor,5,Yes,[No Answer Entered],"Joann, Specialist"
5/23/2018,Vendor,4,No,"She was very pleasant, I asked a difficult question which I figured they could not answer, but gave it a try anyway.","Miranda, Specialist"
5/23/2018,Other,5,Yes,Always a good experience with Sherry.,"Sherry, Specialist"
5/23/2018,Buyer,5,Yes,Wonderful and helpful,"Sherry, Specialist"
5/23/2018,Buyer,5,Yes,"Joann was a great help. In listening to her, she appears to be a great individual to work with.  Thank you for having her on the TEAM.  Great Job!","Joann, Specialist"
5/23/2018,Buyer,5,Yes,"Joann was a great help. In listening to her, she appears to be a great individual to work with.  Thank you for having her on the TEAM.  Great Job!","Joann, Specialist"
5/23/2018,Buyer,5,Yes,Quick and helpful.  Appreciate the help!,"Miranda, Specialist"
5/23/2018,Vendor,5,No,I was provided a direct number to two people who I needed to speak to for my questions,"Joann, Specialist"
5/23/2018,Vendor,5,Yes,The agent was courteous and listened as I explained my problem. She checked for a solution to my concerns and promptly called me back the next day. She was willing to take the time needed to discuss the problem and then offered a solution and help in how I should proceed to correct the problem. She also advised that I was welcome to call back if I needed additional help.,"Miranda, Specialist"
5/23/2018,Vendor,5,Yes,The agent was courteous and listened as I explained my problem. She checked for a solution to my concerns and promptly called me back the next day. She was willing to take the time needed to discuss the problem and then offered a solution and help in how I should proceed to correct the problem. She also advised that I was welcome to call back if I needed additional help.,"Miranda, Specialist"
5/23/2018,Vendor,5,Yes,Person that helped was well spoken and detailed!,"Miranda, Specialist"
5/23/2018,Vendor,5,Yes,Having more info about Limited Liability companies might be helpful.  Working with the helper was very good.,"Sherry, Specialist"
5/23/2018,Vendor,5,Yes,Very professional and responsive.,"Jennifer, Specialist"
5/23/2018,Vendor,5,Yes,Excellent Service !!,"Jennifer, Specialist"
5/23/2018,Vendor,5,Yes,"The website had me in an endless loop because I have a comma and a period in my official company name.  The Customer Care representative told me how to solve this problem, but then went the extra mile to let me know about other issues I might have as I completed the registration.  I think it was Jennifer.","Jennifer, Specialist"
5/22/2018,Buyer,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/22/2018,Buyer,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/22/2018,Buyer,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/22/2018,Buyer,5,Yes,[No Answer Entered],"Miranda, Specialist"
5/22/2018,Vendor,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/22/2018,Buyer,2,No,"buyers/approvers really need the option to show all transactions approved in a specified date range.  I called in order to see how to do this, and it can't be done.  The person that helped me didn't know, at first, how to help me, so she was more of a go-between between her supervisor and myself.  As an approver for my program (Upward Bound), it would be helpful when working on my budget to be able to go into eVA and set a date rage of transactions to see.","Sherry, Specialist"
5/22/2018,SWaM,5,Yes,Submitted a question online and was called back promptly. The gentleman walked me through the steps to answer my question. Very professional and helpful,"Jamel, Lead"
5/22/2018,SWaM,5,Yes,Gave me direct telephone number for Ariba.,"Jennifer, Specialist"
5/22/2018,Other,5,Yes,"Thank you Joann for following up today, from our call yesterday, to say the UAT Report and Resource Center was back up.","Joann, Specialist"
5/22/2018,Buyer,5,Yes,"The eVA Customer Care person was extremely helpful, professional and a seasoned veteran.  

Her tone sounded like she wanted to be there on the job

I think her name was Miranda, I was calling from Reynolds Community College if that helps","Miranda, Specialist"
5/22/2018,Buyer,5,Yes,Sherry was very Friendly and helped get my issue resolved quickly,"Sherry, Specialist"
5/22/2018,Buyer,5,Yes,The person I spoke with was very courteous and helpful.,"Sherry, Specialist"
5/22/2018,Buyer,5,Yes,With the issue I was dealing with it took your staff quiet a while to get me up and running.   They were all very patient and helpful.  Joann was the best!,"Joann, Specialist"
5/22/2018,Buyer,5,Yes,Vickie Beasley did an exceptional job in helping resolve a complicated issue.  THANK YOU!!!!!!!,"Joann, Specialist"
5/22/2018,Buyer,5,Yes,Jennifer was awesome.  I really appreciate all her help.  I learn something new today. She is very professional.,"Jennifer, Specialist"
5/22/2018,Buyer,5,Yes,"Customer Care employee was very helpful to the point that she went and found the fix I needed. It was nice to have someone who takes the time to help and finds the help that is needed.
I feel bad that I did not write her name down so I could properly give her the credit.","Jennifer, Specialist"
5/22/2018,Buyer,5,Yes,My problem was resolved in a reasonable amount of time.,"Miranda, Specialist"
5/22/2018,Vendor,5,Yes,The agent was very helpful.,"Jamel, Lead"
5/22/2018,Vendor,5,Yes,"Very professional, friendly and helpful. Issue was quickly resolved.","Miranda, Specialist"
5/22/2018,Vendor,5,Yes,"Very Polite, patient, helpful, a pleasure to speak with her.","Miranda, Specialist"
5/22/2018,Vendor,5,Yes,you were unable to resolve as it's not within your scope. Miranda gave me a viable option I will follow through with.,"Miranda, Specialist"
5/22/2018,Vendor,5,Yes,Very helpful and took care of fixing our account.,"Miranda, Specialist"
5/22/2018,Vendor,5,Yes,They were pleasant and helpful in describing the needed solution.,"Sherry, Specialist"
5/22/2018,Vendor,5,Yes,Very pleasant and quick experience.  Thank you!,"Sherry, Specialist"
5/22/2018,Vendor,5,Yes,n/a,"Sherry, Specialist"
5/21/2018,Other,5,Yes,[No Answer Entered],"Joann, Specialist"
5/21/2018,Buyer,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/21/2018,Buyer,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/21/2018,Vendor,5,Yes,[No Answer Entered],"Joann, Specialist"
5/21/2018,Vendor,5,Yes,[No Answer Entered],"Joann, Specialist"
5/21/2018,Vendor,3,No,Was asking about thresholds associated with a Micro-Business set-aside. The Customer service rep 1) could not answer the question but referred mt to the buyer - that was fine. She also could not access the QQ in Solicitation in question because of a Computer Problem. I had no problem with HER service. There did seem to be a problem with the System in general,"Joann, Specialist"
5/21/2018,SWaM,5,Yes,The customer service rep was extremely helpful. She walked me through the process of register in eVa as a new vendor and she took time to explain all my questions.,"Jennifer, Specialist"
5/21/2018,Buyer,5,Yes,Thank you!,"Natasha, Lead"
5/21/2018,Buyer,5,Yes,I really appreciate my eVA Customer representative staying on line with me through the entire process......and being so patient.  Sorry I can't remember her name!,"Miranda, Specialist"
5/21/2018,Buyer,5,Yes,"Problem solved in minutes.  Analyst knew exactly how to guide me.  Excellent as always!

Thanks so much!","Miranda, Specialist"
5/21/2018,Buyer,5,Yes,"Excellent service as usual!  Matter resolved and customer not inconvenienced.

Thanks so much for all you do!!  God bless!!!","Sherry, Specialist"
5/21/2018,Buyer,5,Yes,Sherry provided very helpful guidance on searching for the tools necessary and tips on how to find information on the new portal. Very excited about the new portal. Significantly reduces time and steps to completion and for searches.,"Sherry, Specialist"
5/21/2018,Buyer,5,Yes,Joann knew the problem and resolved it with patience and acuity.,"Joann, Specialist"
5/21/2018,Vendor,5,Yes,Outstanding,"Jamel, Lead"
5/21/2018,Vendor,5,Yes,I received very prompt response to an email I sent in about my W-9.,"Miranda, Specialist"
5/21/2018,Vendor,5,Yes,Service contact was very knowledgeable and courteous.,"Miranda, Specialist"
5/21/2018,Vendor,5,Yes,Customer service contact was very helpful.,"Sherry, Specialist"
5/21/2018,Vendor,5,Yes,Great service,"Sherry, Specialist"
5/21/2018,Vendor,5,Yes,"Tracy Walker, VCA was informative; she followed up with me and processed our request quickly and efficiently.","Jennifer, Specialist"
5/21/2018,Vendor,5,Yes,Excellent customer service!,"Sherry, Specialist"
5/21/2018,Vendor,5,Yes,great customer service. Thank you,"Miranda, Specialist"
5/19/2018,Vendor,3,No,"The return call was the following week and I had already contacted someone who helped me last year when I was waiting and even though he was not in that dept., he was extremely helpful to my situation. (Sean Corron)","Joann, Specialist"
5/18/2018,Vendor,5,Yes,[No Answer Entered],"Miranda, Specialist"
5/18/2018,Vendor,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/18/2018,SWaM,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/18/2018,Vendor,5,Yes,[No Answer Entered],"Miranda, Specialist"
5/18/2018,Vendor,3,Yes,"The agent who helped me was terrific! Understood my problem, and gave me an immediate, helpful answer. The automated ""If your problem is... press one"" system to get to her, though, was confusing and frustrating.","Sherry, Specialist"
5/18/2018,Buyer,3,No,My question was answered but I'm not satisfied with the response. Felt like the customer care could have offered up options (if there were any).,"Sherry, Specialist"
5/18/2018,Other,5,Yes,Great service and great knowlege of eVA,"Sherry, Specialist"
5/18/2018,Buyer,5,Yes,The Customer Care was great. She answered my question in no time flat. Sweet and kind. Can't ask for anything more.,"Miranda, Specialist"
5/18/2018,Buyer,5,Yes,"Joann effectively addressed all of my questions and concerns.  She was very professional, courteous and helpful.  Keep up the great work!!!!!","Joann, Specialist"
5/18/2018,Buyer,5,Yes,I appreciate the help I received this morning & how well Jennifer explained how a particular function of eVA works!!,"Jennifer, Specialist"
5/18/2018,Buyer,5,Yes,Jennifer was very helpful and quickly assisted me in solving my problem.,"Jennifer, Specialist"
5/18/2018,Vendor,5,No,"The person who aided me was patient and helpful. She looked into the issue, put in a call to the Buyer, and gave me a potential solution.  My matter was not resolved because the problem was with the letting entry from the Buyer.","Miranda, Specialist"
5/18/2018,Vendor,5,Yes,"Great, fast, easy and very helpful gentelman, sorry didnt remember name... date 5/18/18 around 10:25 a.m. PST.","Jamel, Lead"
5/18/2018,Vendor,5,Yes,He was very proactive,"Jamel, Lead"
5/18/2018,Vendor,5,Yes,"Excellent, fast and courteous service. I have PTSD (short term memory loss) and do not recall the Help Desk persons (female) name.  Thank you.","Miranda, Specialist"
5/18/2018,Vendor,5,Yes,"Was very polite and professional. I really liked the fact that she explained the process of having to resolve this, if there was complete silence I knew exactly why not because she was ignoring me. Excellent customer service! She was able to help resolve my login issues.","Joann, Specialist"
5/18/2018,Vendor,5,Yes,Your help team is very friendly and helpful,"Jennifer, Specialist"
5/18/2018,Vendor,5,Yes,"great,,knowledgable","Jennifer, Specialist"
5/18/2018,Vendor,5,Yes,Very clear and specific instructions were provided to help me answer my questions.,"Sherry, Specialist"
5/17/2018,Vendor,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/17/2018,Vendor,5,Yes,[No Answer Entered],"Joann, Specialist"
5/17/2018,Buyer,5,Yes,[No Answer Entered],"Natasha, Lead"
5/17/2018,Buyer,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/17/2018,Vendor,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/17/2018,Buyer,4,Yes,After we were able to contact the newspaper and were able to get someone right away that could help and found out that they were listed in eVA with another name.,"Miranda, Specialist"
5/17/2018,Buyer,2,No,I was on hold for about 10 minutes and the issue still was not resolved,"Sherry, Specialist"
5/17/2018,Other,5,Yes,I am in the process of registering as a vendor.  Jennifer was very kind and helpful.. Appreciated speaking with her.,"Jennifer, Specialist"
5/17/2018,Buyer,5,No,"The sweet lady that tried to help me couldn't. I couldn't get my order submitted. I kept getting an error message. I tried ""Chrome"", ""Firefox"" and the ""Internet Explorer"". I continued to get the same message that I didn't have codes in certain areas. She even asked her supervisor for suggestions. They ended up asking me to call my administrator to make sure the codes was correct. Which they are. However, I feel it's my laptop. I tried the order again on another laptop in the office and submitted it. The order went through with no problem. I found another issue with my laptop. So, I have a ticket in to our IT department. I greatly appreciate all the help I received. Thanks and have a great day!","Sherry, Specialist"
5/17/2018,Buyer,5,No,"I have already submitted this survey. However, I remember who the sweet lady was that helped me this morning. Although we didn't get things resolved, Sherry was a lot of help. It was my computer that was the problem. I have a work order in on it. When she wasn't sure, she asked someone (instead of just letting it go). Sherry is very polite, soft spoken and her customer service is outstanding. I just wanted to make sure Sherry received the recognition she deserves. Thank you so much for your help this morning.","Sherry, Specialist"
5/17/2018,Buyer,5,Yes,"Kind, pleasant and helpful","Miranda, Specialist"
5/17/2018,Buyer,5,Yes,She was very helpful,"Jennifer, Specialist"
5/17/2018,Buyer,5,Yes,"Thank you, Miranda.","Miranda, Specialist"
5/17/2018,Vendor,5,Yes,Natasha was very patient and helpful.,"Natasha, Lead"
5/17/2018,Vendor,5,Yes,Sorry I did not get her name,"Miranda, Specialist"
5/17/2018,Vendor,5,Yes,Very helpful and patience with me. I asked a lot of questions. I am sorry I forgot her name.,"Miranda, Specialist"
5/17/2018,Vendor,5,Yes,Would love to have her direct line so I can call her with any future questions!,"Sherry, Specialist"
5/17/2018,Vendor,5,Yes,"After dealing with Verizon last week, Sherry was a gift to work with on my issue. Walked me through getting my password changed and setting everything up on the website to change information. All solved in 10 minutes!!","Sherry, Specialist"
5/17/2018,Vendor,5,Yes,Very helpful and pleasant.  Took the time to research and answer my question.,"Sherry, Specialist"
5/17/2018,Vendor,5,Yes,"Although we didn't know that we were not able to receive purchase orders electronically because we had not connected our Ariba account to our eVA account, and I could not figure out how to connect these on my own, the customer care representative was able to easily guide me through the process.  Suggest improvements to eVA by alerting vendors that although they think they're set up to receive notifications of bid awards, they may not be if their Ariba account is not connected.","Jennifer, Specialist"
5/16/2018,Buyer,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/16/2018,Vendor,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/16/2018,Vendor,5,Yes,[No Answer Entered],"Joann, Specialist"
5/16/2018,Vendor,4,Yes,One question arose in completing the form: What's the Ariba database?  I'm supposed to give them the DUNS# too.  Never heard of it.,"Jennifer, Specialist"
5/16/2018,Buyer,3,Yes,Customer Care got me headed in the right direction but it required more work on my part after receiving their help.,"Jennifer, Specialist"
5/16/2018,SWaM,5,Yes,Problem was with access to Ariba.  I was not using an Internet browser that was compatible with Ariba.  Once I tried Mozilla Firefox browser to access EVa account instead of Google Chrome or Microsoft Edge I was able to access my Ariba account.,"Miranda, Specialist"
5/16/2018,Other,5,No,Customer Care representative was friendly and helpful.  My question was answered.,"Jennifer, Specialist"
5/16/2018,Buyer,5,Yes,Jamel was extremely professional and provided information to relay to the vendor about their Ariba account.  Thank you.,"Jamel, Lead"
5/16/2018,Buyer,5,Yes,eVA personnel who answered the phone was great!  Very courteous and helpful.,"Sherry, Specialist"
5/16/2018,Buyer,5,Yes,"Joann effectively addressed all of my questions and concerns.  She was very professional, courteous and helpful.  Keep up the great work!!!!!","Joann, Specialist"
5/16/2018,Buyer,5,Yes,"Smart, competent, friendly","Joann, Specialist"
5/16/2018,Buyer,5,Yes,"Excellent service, solved the issue in a manner of minutes. Thank you!","Jennifer, Specialist"
5/16/2018,Buyer,5,Yes,"She stayed on line with me until my issue was resolved. She was very professional, courteous and very patient.  She is a great asset to your organization.","Jennifer, Specialist"
5/16/2018,Vendor,5,Yes,I don't remember who helped me but she was extremely helpful with walking me through the process to create the relationship between my Pluralsight eVA and Ariba accounts so we can receive our PO's electronically.,"Miranda, Specialist"
5/16/2018,Vendor,5,Yes,Really great demeanor and VERY knowledgeable. Quickly looked me up and helped resolve.,"Sherry, Specialist"
5/16/2018,Vendor,5,Yes,They picked up my call much faster than I expected (almost instantly).,"Sherry, Specialist"
5/16/2018,Vendor,5,Yes,Very helpful assistance.,"Sherry, Specialist"
5/16/2018,Vendor,5,Yes,Very professional and courteous.,"Sherry, Specialist"
5/16/2018,Vendor,5,Yes,"The representative was able to direct me to the proper forms needed to help resolve my issue. Very quick and responsive.

Thank you!","Joann, Specialist"
5/16/2018,Vendor,5,Yes,That was the best customer service experience I've had in quite a while!,"Miranda, Specialist"
5/15/2018,Buyer,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/15/2018,Buyer,5,Yes,[No Answer Entered],"Joann, Specialist"
5/15/2018,Vendor,5,Yes,[No Answer Entered],"Sherry, Specialist"
5/15/2018,Vendor,5,Yes,[No Answer Entered],"Jennifer, Specialist"
5/15/2018,Buyer,1,No,She did not appear to know as much as I do about the system,"Sherry, Specialist"
5/15/2018,Buyer,5,Yes,"Very helpful, encouraging and a pleasure to work with 5 minutes before she was supposed to leave. I may have gotten her name wrong though.","Teresa, Analyst"
5/15/2018,Buyer,5,Yes,"Sherry is the ""go-to"" person for my eVA questions. She is always pleasant, always helpful and if she doesn't know the answer has no shame in checking to give me the right answer. She is priceless","Sherry, Specialist"
5/15/2018,Vendor,5,Yes,Very professional,"Sherry, Specialist"
5/15/2018,Vendor,5,Yes,Customer Care representative was VERY friendly and helpful.,"Sherry, Specialist"
5/15/2018,Vendor,5,Yes,She was very patient and helpful.,"Joann, Specialist"
