Date Started,Who am I,Rating for Cust Care,Was your issue resolved?,Contact Customer?,Comments about Customer Care,Rating for eVA,Comments about eVA Overall,Who worked on your issue
2/25/2019,SWaM (SBSD),5,Yes,No,"Service was wonderful and very helpful!!! She was great!!!!!! The wait was very short too, which was much appreciated!",5,"While overall we like the new eVA design, having the QuickQuote submittal require a browser pop-up is not great. For security purposes, we block pop-ups on our company computers. I wasted a lot of time trying to get this to work today, and as a result, our quote was submitted far closer to the submittal deadline than I like to be.","Jennifer, Specialist"
2/25/2019,Vendor,5,Yes,No,Mel was very patient and knowledgeable.,5,[No Answer Entered],"Jamel ""Mel"", Lead"
2/25/2019,Vendor,5,Yes,No,The representative was as nice as she could be and definitely helped me resolve the issue I was having with logging on to the site. I wish I'd gotten her name. She was great. eVA should be proud to an employee like her. :),5,[No Answer Entered],"Portia, Specialist"
2/25/2019,Vendor,5,Yes,No,"prompt, knowledgeable, friendly",5,[No Answer Entered],"Jennifer, Specialist"
2/25/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Portia, Specialist"
2/25/2019,SWaM (SBSD),5,Yes,No,FRIENDLY AND HELPFUL,5,[No Answer Entered],"Devyonne, Specialist"
2/26/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
2/26/2019,Vendor,5,Yes,No,Could not have been more helpful !!!,5,"Excellent service, knew exactly what to do to fix my issue.

Phone volume was a little low so I did not catch the ladies name that helped me.","Devyonne, Specialist"
2/26/2019,Vendor,5,Yes,No,Customer care very efficient.,5,[No Answer Entered],"Portia, Specialist"
2/26/2019,Vendor,5,Yes,No,Great help. Very patient with me. Solved the problem quickly.,5,I dont remember the name of the very nice person who helped me. The ticket number is 587692. Hopefully that helps.,"Devyonne, Specialist"
2/26/2019,Vendor,5,Yes,No,She was very helpful leading me through the steps that I needed to take.,5,Great,"Devyonne, Specialist"
2/26/2019,Buyer,5,Yes,No,"I was very pleased with the Customer Care Agent. Forgive me for not remembering her name, however, I called about the request to update the vendor quick quote guide to match the new look, and I had completely forgotten about the request. So, it was a surprise when the Customer Care Agent called me today to remind me of the issue, and that it had been resolved. Very pleased, with the level of professionalism, and follow through with the issue.",5,"No need to contact, the issue is resolved.","Sherry, Specialist"
2/26/2019,Buyer,5,Yes,No,I say yes the issue was resolved but I'm not sure since I had to pass information on the the vendor. Hopefully it will be resolved.,5,[No Answer Entered],"Sherry, Specialist"
2/26/2019,Buyer,5,No,No,I will reach out to Vita,5,"She did a great job trying to assist.  Very willing to help, but it appeared to be a VITA issue.","Portia, Specialist"
2/26/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
2/26/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Miranda, Specialist"
2/26/2019,Vendor,5,Yes,No,IT WAS QUICK AND EASY!,5,[No Answer Entered],"Devyonne, Specialist"
2/26/2019,Buyer,5,Yes,Yes,[No Answer Entered],4,[No Answer Entered],"Joann, Specialist"
2/26/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
2/26/2019,Vendor,5,Yes,No,Miranda was great!,3,system is confusing,"Miranda, Specialist"
2/26/2019,Other,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Miranda, Specialist"
2/26/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Miranda, Specialist"
2/26/2019,Buyer,5,Yes,No,The Customer Care representative was very professional.,5,[No Answer Entered],"Sherry, Specialist"
2/26/2019,Vendor,5,Yes,No,The woman I spoke to was very friendly and helpful.  I got a reply within 24 hours!,5,[No Answer Entered],"Joann, Specialist"
2/27/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
2/27/2019,Vendor,5,Yes,No,The customer care specialist was very professional and helpful,5,[No Answer Entered],"Joann, Specialist"
2/27/2019,Vendor,5,Yes,No,Great lady. She knew her stuff!!!,5,[No Answer Entered],"Jennifer, Specialist"
2/27/2019,Buyer,5,Yes,No,Excellent service,5,Excellent,"Miranda, Specialist"
2/27/2019,Buyer,5,Yes,No,[No Answer Entered],5,Representative was very helpful and addressed my issue.,"Devyonne, Specialist"
2/27/2019,Vendor,5,Yes,No,"excellent customer care, very helpful!",5,[No Answer Entered],"Joann, Specialist"
2/27/2019,Vendor,5,Yes,No,GREAT,5,GREAT,"Joann, Specialist"
2/27/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
2/27/2019,SWaM (SBSD),5,Yes,No,Great service!,5,Super helpful and patient.,"Portia, Specialist"
2/27/2019,Vendor,5,Yes,No,Very good customer service,5,[No Answer Entered],"Devyonne, Specialist"
2/27/2019,Vendor,5,Yes,No,The young lady I spoke with was very knowledgeable and efficient. I also did not have to wait to get her on the phone. Overall perfect.,5,[No Answer Entered],"Miranda, Specialist"
2/27/2019,SWaM (SBSD),5,Yes,No,"Debbie gave me the contact info to find the answer to my question, thanks",5,[No Answer Entered],"Devyonne, Specialist"
2/27/2019,Buyer,5,Yes,No,"Devyonne effectively addressed all of my questions and concerns.  She was very professional, courteous and helpful.  Keep up the great work!!!!!",5,Great experience!!!!,"Devyonne, Specialist"
2/27/2019,Buyer,5,Yes,No,"Miranda was absolutely fabulous.  She was very patient, walked me through the steps and made sure I understood.  Thanks, Miranda!",5,[No Answer Entered],"Miranda, Specialist"
2/27/2019,Vendor,5,Yes,No,I was grateful for the very timely and helpful assistance that was provided to me.,5,[No Answer Entered],"Devyonne, Specialist"
2/28/2019,Buyer,3,No,No,"Most of the time, eVA CC can't really help me. I am directed to my DGS procurement rep.",3,"Most of the time, eVA CC can't really help me. I am directed to my DGS procurement rep. They are always nice though.:)","Jennifer, Specialist"
2/28/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
2/28/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
2/28/2019,Vendor,5,Yes,No,Very direct and informative to the questions I had involving our account.,5,"Easy navigation and process. Pleased with the experience. The website registration form format resolution was small, but no complaints.","Miranda, Specialist"
2/28/2019,Buyer,1,No,No,Had to repeat myself over and over ...my information was not updated nor correct had me listed at my old department with the commonwealth...,1,"I had no problems last month when I contacted the customer service for an issue I had thus it was corrected right away...not today, the lady I spoke with was hard to hear and I had to repeat myself several times and my issue was not resolved.","Joann, Specialist"
2/28/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
2/28/2019,Buyer,5,Yes,No,Jennifer was very patient and kind.,5,Nothing but good service for the Eva Customer Care awesome....,"Jennifer, Specialist"
2/28/2019,Vendor,5,Yes,No,Joann was wonderful,5,Quick service and friendly,"Joann, Specialist"
2/28/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
2/28/2019,Vendor,5,Yes,No,"Clear, concise, kind, thoughtful.",5,[No Answer Entered],"Jennifer, Specialist"
2/28/2019,Buyer,5,Yes,No,Both Portia and Natasha contacted me and explained the issue and provided an update on how the issue was being escalated for resolution.  Both were helpful and professional.,5,A big thank you to Gail Kemper for her assistance!,"Portia, Specialist"
2/28/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Portia, Specialist"
2/28/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
2/28/2019,Vendor,5,Yes,No,Someone answered the phone immediately when I called and I also received a phone call reply to my email rather than an email response. Very impressed by that.,5,Hoping to find out we are registered very soon!,"Portia, Specialist"
2/28/2019,Buyer,4,No,No,"First step, front line customer service with Portia was fine; however, it did not offer a direct or immediate solution to the vendor issue and questions at hand.  Therefore, I was provided a name and number for a DGS Staff Member for further discussion of the situation and resolution.",4,"Portia was attentive and patient, and as far as what limited assistance she could offer on the matter of inquiry, was very helpful.","Portia, Specialist"
2/28/2019,Buyer,1,Yes,No,"I could not find a vendor I entered into VSS (received NoReturn approval).  The eCC rep argued that the reason it wasn't available was because I didn't use the COVA Subsitute W9.  I am almost 100% sure that is not correct, but she would not back down and was somewhat condescending in her delivery of what was done incorrectly in VSS to cause the issue. I wasn't getting anywhere, so I relented.  Ten minutes later she called me back to say the reason it wasn't there was because the upload didn't occur. That was the answer all the time.",1,"My suggestion is if you don't know the answer to an eCC inquiry, don't make something up and don't attempt to make a caller feel they shouldn't question what you're saying if they don't understand or politely challenge the validity of what you are saying!","Devyonne, Specialist"
2/28/2019,Vendor,5,Yes,No,Very good customer care.  Took care of my question efficiently.,5,I don't remember the name of my customer care specialist - but she did an excellent job!!,"Jennifer, Specialist"
2/28/2019,Vendor,5,Yes,No,The young lady who helped me was extremely knowledgeable and patient with me.  She did a remarkable job getting me through the changes I needed to make in our account information.,5,[No Answer Entered],"Devyonne, Specialist"
3/1/2019,Buyer,5,Yes,No,"Miranda did a great job trying to resolve the issue that I was having.
",5,[No Answer Entered],"Miranda, Specialist"
3/1/2019,Buyer,5,Yes,No,Great effort and follow-up.,5,[No Answer Entered],"Miranda, Specialist"
3/1/2019,Buyer,5,Yes,No,"Miranda did a great job trying to resolve the issue that I was having.
",5,[No Answer Entered],"Miranda, Specialist"
3/1/2019,Buyer,5,Yes,No,Great effort and follow-up.,5,[No Answer Entered],"Miranda, Specialist"
3/1/2019,Vendor,5,Yes,No,friendly and straight forward,5,[No Answer Entered],"Devyonne, Specialist"
3/1/2019,Buyer,4,No,No,"Communication with Customer Service Representative was a tad difficult.  Problem with PO Report 203 not printing (apparently due to excessive information in the Line Item Description affecting the PO Report 203).  Representative suggested using a standard PO copy.  I had to explain that the PO Report 203 contains Account Codes and Cost Centers essential to processing and tracking payable expenses, and that not all staff are able to access purchase orders to see assigned line item accounting code structures.",4,"Was surprised that Customer Service Representative was not aware of the content differences in procurement documents and reports in eVA.  There is a wider audience (such as budget, accounting, etc.) that routinely utilize and download reports from eVA that are not directly connected to creation and processing of the procurement transactions individually.  Did take the suggestions offered by Customer Service Representative back to the purchase order originator to reduce line item descriptions and attach related information if needed to prevent overload on generation of PO Report 203's.  Thanks.","Jennifer, Specialist"
3/1/2019,Vendor,5,Yes,No,The representative I spoke with was very knowledgeable about the system and was very very very pleasant to work with.,5,[No Answer Entered],"Jennifer, Specialist"
3/1/2019,Vendor,5,Yes,No,good professional and courteous,5,[No Answer Entered],"Sherry, Specialist"
3/1/2019,Buyer,5,Yes,No,Needed help posting a solicitation.,5,"Local Government Account Executive Lawrence Shaw was very, very helpful.","Miranda, Specialist"
3/1/2019,Buyer,5,Yes,No,"Miranda was EXTREMELY helpful! She researched my issue, and was able to explain to me what happened.",5,[No Answer Entered],"Miranda, Specialist"
3/1/2019,Buyer,5,Yes,No,every customer care experience has been wonderful,5,[No Answer Entered],"Portia, Specialist"
3/1/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Sherry, Specialist"
3/1/2019,Vendor,5,Yes,No,[No Answer Entered],3,The eVA web portal is not user-friendly and not informative on how a new Vendor would use the portal.,"Miranda, Specialist"
3/1/2019,Vendor,5,Yes,No,Very good service,5,very knowledgeable and helpful,"Devyonne, Specialist"
3/1/2019,Vendor,5,Yes,No,Chandra was very helpful and friendly,5,[No Answer Entered],"Chandra, Specialist"
3/1/2019,Vendor,5,Yes,No,"Excellent overall Customer Service and response times from all involved, including Joann, Stephanie Napoleon, and Margaret. Thank you all for your assistance, you were excellent and it was greatly appreciated!",5,"Excellent overall Customer Service and response times from all involved, including Joann, Stephanie Napoleon, and Margaret. Thank you all for your assistance, you were excellent and it was greatly appreciated","Joann, Specialist"
3/1/2019,Vendor,5,Yes,Yes,"The Operator was very patient,courteous and,and professional.",5,[No Answer Entered],"Chandra, Specialist"
3/4/2019,SWaM (SBSD),5,Yes,Yes,GREAT JOB ....,5,VERY KIND ...,"Jennifer, Specialist"
3/4/2019,Vendor,5,Yes,No,They were extremely prompt and answered my question precisely as I wanted it to be answered.,5,[No Answer Entered],"Sherry, Specialist"
3/4/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Sherry, Specialist"
3/4/2019,Vendor,5,Yes,No,Excellent service,5,[No Answer Entered],"Sherry, Specialist"
3/4/2019,Vendor,5,Yes,No,We had some account confusion on our end. The account rep was able to help us get our account reorganized. Thanks for your help.,5,Thanks again for your patience and assistance.,"Jennifer, Specialist"
3/4/2019,Vendor,5,Yes,No,excellent.,5,[No Answer Entered],"Joann, Specialist"
3/4/2019,Other,5,Yes,No,You representative was very helpful and considerate.,5,[No Answer Entered],"Chandra, Specialist"
3/4/2019,SWaM (SBSD),4,Yes,No,the support called me back within the hour after I sent an email requesting help with retrieving our eVA login credentials. She was helpful to get the issue resolved over the phone. Understood the issue fully and provided a quick and effective solution.,5,[No Answer Entered],"Joann, Specialist"
3/4/2019,Buyer,5,Yes,No,Very Helpful!,5,Question was answered in a timely matter.,"Sherry, Specialist"
3/4/2019,Vendor,5,Yes,No,Very nice customer care rep. helped us-she was very patient.,5,[No Answer Entered],"Jennifer, Specialist"
3/4/2019,Vendor,5,Yes,No,[No Answer Entered],5,Joann was so kind and patient.  Her customer service was excellent!,"Joann, Specialist"
3/4/2019,Vendor,5,Yes,No,Great Call!  Resolved my issue quickly and professionally!  Thank you,5,Great Call!  Resolved my issue quickly and professionally!  Thank you,"Sherry, Specialist"
3/4/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Sherry, Specialist"
3/4/2019,Vendor,5,Yes,No,Very helpful and pleasant support from my representative,5,[No Answer Entered],"Chandra, Specialist"
3/4/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
3/4/2019,Vendor,5,Yes,No,Rep was patient and knowledgeable,5,[No Answer Entered],"Jennifer, Specialist"
3/5/2019,Buyer,5,Yes,No,"Great job! She looked up information for me, explained step by step what to do, stayed on the phone for at least 20 minutes while I made the necessary changes.",5,Thank you!,"Sherry, Specialist"
3/5/2019,Buyer,5,Yes,No,Service was outstanding,5,the call back time was excellent,"Joann, Specialist"
3/5/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
3/5/2019,Buyer,5,No,No,Miranda was great and very helpful.,2,"I re-registered (with eVa Customer Care staff) about 3-4 weeks ago and still haven't heard anything regarding my account being activated. Miranda, gave me the name and number of the regional executive who could help with my specific issue.","Miranda, Specialist"
3/5/2019,Buyer,4,No,No,Was told to call VCCS for assistance.,4,Was unable to pull up supplier that eVA customer care representative was able to confirm as registered and active.,"Joann, Specialist"
3/5/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Chandra, Specialist"
3/5/2019,Vendor,5,Yes,No,Very helpful assistance from Chandra!! She was patient and knowledgeable.,5,[No Answer Entered],"Chandra, Specialist"
3/5/2019,Buyer,5,Yes,No,always helpful !,5,[No Answer Entered],"Miranda, Specialist"
3/5/2019,Buyer,5,Yes,No,They were very helpful and responsive in getting my issue resolved quickly.,5,"As mentioned above, they were very responsive in helping to resolve my issue.  

The initial contact was Debbie.  I don't see her in the list below.","Devyonne, Specialist"
3/5/2019,Vendor,5,No,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
3/5/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Miranda, Specialist"
3/5/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Miranda, Specialist"
3/5/2019,Vendor,5,Yes,No,Prompt return phone call!,5,[No Answer Entered],"Miranda, Specialist"
3/5/2019,Other,5,No,Yes,EVA is not the problem; cvgDoa is. EVA has already contacted me.,5,very patient and helpful,"Jennifer, Specialist"
3/5/2019,Buyer,5,Yes,No,Customer Service was very helpful and took care of my situation very quickly and I was back up and running in eVA.  Thank you.,5,Great Experience.  I very much appreciate Devyonne offered to stay on the line while I reconnected my access to eVA.  Greatly appreciated.  Thank you,"Devyonne, Specialist"
3/5/2019,Buyer,5,Yes,No,The service was excellent.  I received excellent customer service and guidance and she was able to help me fix optimizer so I could receive content on punchout catalog page for vce.,5,"Great experience!  I am sorry but don't remember the young lady's name because, at first, I couldn't hear her very well.  She was very knowledgeable and patient and excellent person to work with.","Joann, Specialist"
3/5/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Miranda, Specialist"
3/5/2019,Vendor,5,Yes,No,Perfect Customer Service!,5,Very good experience and the issue was resolved quickly!,"Sherry, Specialist"
3/5/2019,Buyer,5,Yes,No,It's always a pleasure!!  Thanks so much for all you do!!!,5,Keep up the excellence.,"Portia, Specialist"
3/5/2019,Vendor,5,Yes,No,Excellent service.  I was walked through each step to be sure all requests were completed correctly.,5,Could not have asked for anyone to be friendlier or more helpful.  I feel terrible that I cannot recall her name but she was amazing.,"Chandra, Specialist"
3/6/2019,Buyer,5,Yes,No,Pleasant communication and quick to respond to issue.,5,[No Answer Entered],"Joann, Specialist"
3/6/2019,Vendor,5,Yes,No,"Chandra - amazing service and great customer service!
Thank you so much for your help and your patience.",5,[No Answer Entered],"Chandra, Specialist"
3/6/2019,Buyer,5,Yes,No,Thank you - so helpful,5,I wish I could remember her name - she was so helpful.,"Joann, Specialist"
3/6/2019,SWaM (SBSD),5,Yes,Yes,Great - Very helpful,5,[No Answer Entered],"Joann, Specialist"
3/6/2019,Buyer,5,Yes,No,Excellent - thank you so much!,5,[No Answer Entered],"Miranda, Specialist"
3/6/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
3/6/2019,Vendor,5,No,No,"The customer care representative was very professional, efficient and polite.  She was able to identify the problem and she provided me with possible solutions.",5,[No Answer Entered],"Chandra, Specialist"
3/6/2019,Buyer,4,Yes,No,[No Answer Entered],4,[No Answer Entered],"Joann, Specialist"
3/6/2019,Vendor,5,Yes,No,Very polite and quick to respond.,5,[No Answer Entered],"Portia, Specialist"
3/6/2019,Vendor,5,Yes,No,Very good customer service. The rep was extremely helpful and patient.,5,Very good customer service. The rep was extremely helpful and patient.,"Chandra, Specialist"
3/6/2019,Buyer,5,Yes,No,"Miranda effectively addressed all of my questions and concerns.  She was very professional, courteous and helpful.  Keep up the great work!!!!!",5,Great experience!!!!,"Miranda, Specialist"
3/6/2019,Vendor,5,No,Yes,Excellent service but I didn't have all the required information to proceed.,5,Maybe the rep could wait to see if matter resolved fully if it's a tec issue if customer has all the need information. In my case I didn't but when I call back the next day I had all the information but again I hang-up before matter really resolved...not the tec person fault.,"Jennifer, Specialist"
3/6/2019,Vendor,5,Yes,No,Good service,5,Irma did a great job. She should be on the dropdown list below.,Other
3/7/2019,Buyer,5,Yes,No,"Devyonne Davis was extremely helpful and courteous as she walked me through the process of resolving my QQ issue. She accessed my screen and was able to troubleshoot the issue I was having and informed me about how to resolve it. I was very satisfied with the support she provided and I did not have to wait on hold forever, either!",3,There are many hindrances within eVA and the entire procurement process.,"Devyonne, Specialist"
3/7/2019,Vendor,5,Yes,No,Jennifer was very patient in assisting me with my concern..........she hung in there with me until all issues were resolved............an excellent experience,5,[No Answer Entered],"Jennifer, Specialist"
3/7/2019,Buyer,5,Yes,No,CONTACTED VIA E-MAIL AND THEN REC'D A PHONE CALL TO EXPLAIN HOW THE CHANGE WOULD TAKE PLACE.  I WASN'T SURE OF THE PROCESS.,5,"INDIVIDUAL THAT CALLED (I APOLOGIZE FOR NOT GETTING HER NAME BUT SHE WAS VERY POLITE, CORDIAL AND EXPLAINED TO ME WHAT WOULD TAKE PLACE.THANKS","Sherry, Specialist"
3/7/2019,Vendor,5,Yes,No,Very helpful,5,I'm not sure of the person who helped did not write down her name,"Portia, Specialist"
3/7/2019,Vendor,5,Yes,No,"EXCELLENT service - she answered my questions quickly and very efficiently - was very helpful, pleasant and friendly - I wish I had taken down her name, but was in a rush and multi-tasking",5,[No Answer Entered],"Miranda, Specialist"
3/7/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
3/7/2019,Vendor,5,Yes,No,Great service,5,[No Answer Entered],"Devyonne, Specialist"
3/7/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Portia, Specialist"
3/7/2019,Vendor,5,Yes,No,The help was provided and it helped to solve the question,5,[No Answer Entered],"Jennifer, Specialist"
3/7/2019,Vendor,5,Yes,No,Very helpful and patient.  Walked me through the registration and answered all questions.,5,Very helpful and patient.  Walked me through the registration and answered all questions.,"Portia, Specialist"
3/7/2019,Buyer,5,Yes,No,"Awesome!  So articulate, professional and detailed oriented.  I received the information I need to return excellent care to those we serve.",5,Thank you so much!  God bless!!,"Miranda, Specialist"
3/7/2019,Vendor,5,Yes,No,Wonderful customer service and very helpful.  Very satisfied.,5,Easy to use system and quick registration response.,"Portia, Specialist"
3/7/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
3/7/2019,Other,5,Yes,No,Perfect,5,Worked with Susan Cody at VSP and she still could not login after resetting password.  She will call eVA Customer Care to troubleshoot.,"Joann, Specialist"
3/7/2019,Vendor,4,Yes,No,[No Answer Entered],4,[No Answer Entered],"Jennifer, Specialist"
3/8/2019,Buyer,5,Yes,No,[No Answer Entered],4,[No Answer Entered],"Devyonne, Specialist"
3/8/2019,Vendor,5,Yes,No,"We received excellent customer service.  Our representative was friendly, knowledgeable, and efficient. Our representative gave her name early in the call, but my phone transitioned from speaker to handheld, and I apologize that I did not ask her to repeat it.",5,[No Answer Entered],"Devyonne, Specialist"
3/8/2019,Vendor,5,Yes,No,They were excellent,5,I have a bad cold today and can't recall the name of the person I spoke with but she was great!,"Jennifer, Specialist"
3/8/2019,SWaM (SBSD),5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Sherry, Specialist"
3/8/2019,SWaM (SBSD),5,Yes,No,"The individual was patient, helpful and walked me through the solution.",5,"sorry, I didn't take down the tame of the person who helped me,  but she was very helpful.
thank you","Devyonne, Specialist"
3/8/2019,Vendor,5,Yes,No,You have a great team - Thank you for all the help!,5,Very Professional!,"Portia, Specialist"
3/8/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
3/8/2019,Buyer,5,Yes,No,It was very good,5,[No Answer Entered],"Devyonne, Specialist"
3/8/2019,Buyer,5,Yes,No,Natasha is amazing with follow up.,5,[No Answer Entered],"Natasha, Lead"
3/8/2019,Vendor,5,Yes,No,Miranda did a great job representing you and helping me.,5,Normally do not take time to complete surveys but was really impressed with Miranda.,"Miranda, Specialist"
3/8/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Devyonne, Specialist"
3/8/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
3/8/2019,Buyer,5,Yes,No,Excellent Service - Thank You!,5,Excellent,"Portia, Specialist"
3/8/2019,Vendor,5,Yes,No,Service was perfect.  The customer care person was friendly and compentent.  GREAT JOB!,5,[No Answer Entered],"Devyonne, Specialist"
3/8/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
3/11/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Joann, Specialist"
3/11/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Chandra, Specialist"
3/11/2019,Buyer,5,Yes,No,questions answered clearly and quick resolution!,5,very positive.  Customer service rep was helpful and polite,"Chandra, Specialist"
3/11/2019,Buyer,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Jennifer, Specialist"
3/11/2019,Vendor,5,Yes,No,"The representative I spoke with was professional and courteous, and spoke with a friendly tone.",5,[No Answer Entered],"Chandra, Specialist"
3/11/2019,Buyer,5,Yes,No,"quick, friendly service; solved problem.",5,I'm not positive that I've indicated the right name for the specialist who assisted me.,"Portia, Specialist"
3/11/2019,SWaM (SBSD),5,Yes,No,"Portia was extremely pleasant, helpful & understanding",5,[No Answer Entered],"Portia, Specialist"
3/11/2019,Buyer,5,Yes,No,Great service!,5,[No Answer Entered],"Miranda, Specialist"
3/11/2019,Vendor,5,Yes,No,The person who helped me was fantastic.,5,[No Answer Entered],"Jennifer, Specialist"
3/11/2019,Vendor,5,Yes,No,Excellent customer service. Agent walked me through the process and concerns I had.,5,[No Answer Entered],"Miranda, Specialist"
3/11/2019,Vendor,5,Yes,No,Excellent Customer Service.,5,[No Answer Entered],"Joann, Specialist"
3/11/2019,Vendor,5,Yes,No,"thank you for the help, everyone is always very kind and helpful",5,[No Answer Entered],"Chandra, Specialist"
3/12/2019,Vendor,5,Yes,No,Very nice experience and rep stayed with me on phone until I was completely satisfied.,5,[No Answer Entered],"Chandra, Specialist"
3/12/2019,Buyer,5,Yes,No,[No Answer Entered],3,[No Answer Entered],"Miranda, Specialist"
3/12/2019,Vendor,5,Yes,No,[No Answer Entered],5,Thanks for your help Chandra !!!,"Chandra, Specialist"
3/12/2019,Buyer,5,Yes,Yes,The service was fine.,5,[No Answer Entered],"Joann, Specialist"
3/12/2019,Buyer,5,Yes,No,extremely patient and helpful,5,"Good, timed out too quickly and had to redo","Chandra, Specialist"
3/12/2019,Other,5,Yes,No,"Excellent!

No waiting time at all and because my issue was resolved in such a timely fashion, my vendor's issue will be resolved in a timely fashion as well.",5,Stellar customer service as is always the case!,"Sherry, Specialist"
3/12/2019,Buyer,5,Yes,No,I was contacted within an hour of sending an email and all was resolved.  The eVA Customer Care Representative was very helpful!,5,"Just getting started, but I am very pleased by the level of service so far!","Chandra, Specialist"
3/13/2019,Buyer,4,Yes,No,[No Answer Entered],4,[No Answer Entered],"Joann, Specialist"
3/13/2019,Vendor,5,Yes,No,[No Answer Entered],5,"I wish I could rememebr who I worked with (I think Chandra,) so that I can call her out specically. She was great adn helpful.","Natasha, Lead"
3/13/2019,SWaM (SBSD),4,Yes,No,"When I call for service its always good.  But its ALWAYS difficult, time consuming and discouraging to try and collect from the buyers.  It seems no 2 require the same invoice format and delivery and they always seem to have a delay tactic to put off paying.  It should NOT take 6-8 weeks and four times the man hours to get paid for a 4 hour job with a $185 invoice. It shouldn't!!",3,"But its ALWAYS difficult, time consuming and discouraging to try and collect from the buyers.  It seems no 2 require the same invoice format and delivery and they always seem to have a delay tactic to put off paying.  It should NOT take 6-8 weeks and four times the man hours to get paid for a 4 hour job with a $185 invoice. It shouldn't!!","Joann, Specialist"
3/13/2019,Vendor,5,Yes,No,Very Through Rep and knowledge about the web and direction to resolve my issue fast and painless,5,[No Answer Entered],"Jennifer, Specialist"
3/13/2019,Vendor,5,Yes,No,Each representative I spoke with on the phone was very professional and helpful!,5,[No Answer Entered],"Sherry, Specialist"
3/13/2019,Buyer,5,Yes,No,"Representative was friendly, helpful and professional.",5,The system is new and updated so things looked a little difference.  I couldn't find me previous items. But the representative helped me locate by directing to eMall.,"Sherry, Specialist"
3/13/2019,Buyer,5,Yes,No,"Excellent, I worked with the tech for an hour and forty minutes to get a punchout issue resolved. She stayed with me online through the entire process and did not off until we had the problem fixed. Wonderful person to work with.,",5,[No Answer Entered],"Miranda, Specialist"
3/13/2019,Vendor,5,Yes,No,None at this time,5,None at this time,Other
3/13/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Miranda, Specialist"
3/13/2019,Vendor,5,Yes,Yes,"Very nice, professional, knowledgeable  about EVA as well as computers.
 Very patient with  me and  my slow computer.",5,[No Answer Entered],"Chandra, Specialist"
3/13/2019,Vendor,4,Yes,No,JoAnn was very helpful and a pleasure to work with.,5,[No Answer Entered],"Joann, Specialist"
